category,rank,period,title,language,stars,stars_gained,description,link,scraped_at
News,1,daily,palmier-io/palmier-pro,Swift,"5,903","1,834 stars today",macOS video editor built for AI,https://github.com/palmier-io/palmier-pro,2026-06-22 12:02:03
News,2,daily,calesthio/OpenMontage,Python,"9,624",987 stars today,"World's first open-source, agentic video production system. 12 pipelines, 52 tools, 500+ agent skills. Turn your AI coding assistant into a full video production studio.",https://github.com/calesthio/OpenMontage,2026-06-22 12:02:03
News,3,daily,chopratejas/headroom,Python,"45,328","2,624 stars today","Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 60-95% fewer tokens, same answers. Library, proxy, MCP server.",https://github.com/chopratejas/headroom,2026-06-22 12:02:03
News,4,daily,tursodatabase/turso,Rust,"20,964",548 stars today,"Turso is an in-process SQL database, compatible with SQLite.",https://github.com/tursodatabase/turso,2026-06-22 12:02:03
News,5,daily,penpot/penpot,Clojure,"52,460","1,135 stars today",Penpot: The open-source design tool for design and code collaboration,https://github.com/penpot/penpot,2026-06-22 12:02:03
News,6,daily,ZhuLinsen/daily_stock_analysis,Python,"45,006",568 stars today,"LLM 驱动的多市场股票智能分析系统：多源行情、实时新闻、决策看板与自动推送，支持零成本定时运行。 LLM-powered multi-market stock analysis system with multi-source market data, real-time news, decision dashboard, automated notifications, and cost-free scheduled runs.",https://github.com/ZhuLinsen/daily_stock_analysis,2026-06-22 12:02:03
News,7,daily,koala73/worldmonitor,TypeScript,"58,309",163 stars today,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",https://github.com/koala73/worldmonitor,2026-06-22 12:02:03
News,8,daily,bytedance/deer-flow,Python,"72,817",442 stars today,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",https://github.com/bytedance/deer-flow,2026-06-22 12:02:03
News,9,daily,DeusData/codebase-memory-mcp,C,"10,711","1,032 stars today","High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",https://github.com/DeusData/codebase-memory-mcp,2026-06-22 12:02:03
News,10,daily,mukul975/Anthropic-Cybersecurity-Skills,Python,"17,947",361 stars today,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",https://github.com/mukul975/Anthropic-Cybersecurity-Skills,2026-06-22 12:02:03
News,11,daily,mikumifa/biliTickerBuy,Python,"3,760",67 stars today,b站会员购购票辅助工具,https://github.com/mikumifa/biliTickerBuy,2026-06-22 12:02:03
News,12,daily,smicallef/spiderfoot,Python,"18,877",294 stars today,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.,https://github.com/smicallef/spiderfoot,2026-06-22 12:02:03
News,13,daily,topoteretes/cognee,Python,"18,804",347 stars today,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,https://github.com/topoteretes/cognee,2026-06-22 12:02:03
News,14,daily,byoungd/English-level-up-tips,N/A,"54,164",125 stars today,An advanced guide to learn English which might benefit you a lot 🎉 . 人生进阶指南 离谱的人生 离谱的英语学习指南/英语学习教程/英语学习/学英语,https://github.com/byoungd/English-level-up-tips,2026-06-22 12:02:03
News,15,daily,asgeirtj/system_prompts_leaks,JavaScript,"44,696",282 stars today,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 4.8, Claude Code, Claude Design. OpenAI - ChatGPT 5.5 Thinking, GPT 5.5 Instant, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",https://github.com/asgeirtj/system_prompts_leaks,2026-06-22 12:02:03
News,16,daily,mattpocock/skills,Shell,"140,324","1,443 stars today",Skills for Real Engineers. Straight from my .claude directory.,https://github.com/mattpocock/skills,2026-06-22 12:02:03
